,datetime,nav,cash_position,margin_requirement
0,1988-01-29,68.31548262212274,74.22868014977254,81.43720940465819
0,1988-02-29,70.8332815117208,74.49754041874667,85.16590277377281
0,1988-03-31,71.50042021742456,74.6180362828439,84.47133217624466
0,1988-04-29,72.33794914025665,74.65791633389622,85.31634997917838
0,1988-05-31,69.4292373864838,74.39448053404438,86.38993703860206
0,1988-06-30,70.39627662771154,74.23584753642984,91.61350415423996
0,1988-07-29,68.43262583217009,73.83111463442948,91.30689535578131
0,1988-08-31,66.33561384038373,73.27836340486544,90.63130248361983
0,1988-09-30,66.49588094989987,72.88084741729966,94.33560274054221
0,1988-10-31,66.82876553747232,72.77713717222183,93.24679628821585
0,1988-11-30,66.90994737727277,72.76790751648925,89.91523874150329
0,1988-12-30,69.40021409287223,72.43353763706119,89.89748454809538
0,1989-01-31,69.2955266517817,72.61934482202442,93.51153966344614
0,1989-02-28,67.69776637020259,72.32084833207465,91.58329558225432
0,1989-03-31,65.36268175960662,71.7065609215144,93.49623919981983
0,1989-04-28,66.5785755543769,71.01207022549427,95.48633436715014
0,1989-05-31,67.98355520456873,70.89506986599059,97.87266978639116
0,1989-06-30,65.19024993895451,70.51411369470988,95.51059559881472
0,1989-07-31,66.18843192455424,70.45183020596524,100.29044037173296
0,1989-08-31,65.55144716796394,70.49366371584969,99.36925837784052
0,1989-09-29,65.16941049296494,70.41668494856413,98.71813915653888
0,1989-10-31,68.67347651220852,70.66110106672198,95.19433338874958
0,1989-11-30,70.24836113892263,70.92059698170378,94.09840371681136
0,1989-12-29,71.87729934514525,70.9892457313848,91.90909532055824
0,1990-01-31,74.45124885365547,71.25092771446745,85.77796829044932
0,1990-02-28,74.0779715862145,71.55071966694427,86.8203351924076
0,1990-03-30,79.16940116893193,72.61506411344857,89.10647558332762
0,1990-04-30,83.34672974620221,73.86427966460202,89.08915700113727
0,1990-05-31,86.30166662867413,75.28334955114185,97.92578317588377
0,1990-06-29,91.48903349226205,77.4552864534975,99.97872618894297
0,1990-07-31,93.02508783272324,79.47676859544008,99.857065289427
0,1990-08-31,92.64810891362231,81.26570684237473,94.75091683109501
0,1990-09-28,95.83586674264464,83.1837197667054,91.44343154104817
0,1990-10-31,100.85064961594082,85.40999363019309,92.609187208657
0,1990-11-30,100.28921482961229,87.73075060899002,105.06423078844855
0,1990-12-31,101.10056850702912,90.098111692455,111.61316321885838
0,1991-01-31,102.95670281341296,92.81930764634158,120.55706906319378
0,1991-02-28,102.08278091622891,95.66067001388284,131.15548072793055
0,1991-03-28,104.63581376813136,98.3063273024699,138.52809913263798
0,1991-04-30,100.80575944788451,100.24169668649154,138.86035078285553
0,1991-05-31,100.37298763851399,102.21881092784865,143.19250889701462
0,1991-06-28,102.29641617654207,103.87639858883637,137.24048411594592
0,1991-07-31,105.10037946530987,105.62187115394248,143.77582076750207
0,1991-08-30,106.08603695865793,107.26764302398479,147.60349224845896
0,1991-09-30,103.38868752919817,107.74431027012292,142.2714851627469
0,1991-10-31,103.51791300336012,107.01053467328248,141.49834450825216
0,1991-11-29,108.6605701413476,107.34196873434499,135.55936588038998
0,1991-12-31,113.67250021159487,108.19811532597582,147.39777861471438
0,1992-01-31,110.23477915794518,108.6232936085318,144.4748664261916
0,1992-02-28,106.5648257221914,108.94844035239451,143.8963309832423
0,1992-03-31,102.77640432634979,108.8356887770691,137.77800017376512
0,1992-04-30,98.62700576093215,108.60172840755448,135.0595365985264
0,1992-05-29,96.96742825200853,108.7608342678257,135.608662873913
0,1992-06-30,90.3673260007403,108.24583095170533,130.89553157348374
0,1992-07-31,92.145671750683,107.87640917702826,132.372999701268
0,1992-08-31,96.11983727971261,107.78775077961201,127.80547527766109
0,1992-09-30,94.27437865127357,107.62220289867346,128.57269344284822
0,1992-10-30,97.46276627193359,107.9148004852532,131.28660913199232
0,1992-11-30,97.35083050707541,107.45941577998855,134.8389315127998
0,1992-12-31,92.23278248432071,106.05188599586256,134.37520313323307
0,1993-01-29,89.04477999546273,104.77034794843411,132.44823047000764
0,1993-02-26,80.69817791658816,102.80576669666776,127.15299169267638
0,1993-03-31,79.01575498333295,101.00903804537637,127.55921622531949
0,1993-04-30,76.98228774403226,99.1516790648542,120.93485687325511
0,1993-05-28,82.31734649788257,97.85890402034329,121.90460580990126
0,1993-06-30,77.39788922677454,96.86607380311605,119.80327706355565
0,1993-07-30,70.81839068932328,95.17171285285397,115.98643898522032
0,1993-08-31,69.28866376949492,92.69849511728609,115.3999022752702
0,1993-09-30,68.47609099862834,90.47896806290697,113.46983511649628
0,1993-10-29,74.06121508962644,88.70572052676818,110.13247884250413
0,1993-11-30,76.87497938161361,87.29805700454023,105.9546837657958
0,1993-12-31,77.36717632647816,86.39586363111191,105.76853357996399
0,1994-01-31,76.6577278387903,85.6990841083087,106.52165431354032
0,1994-02-28,81.37633452211698,86.06701292176881,104.2621346665708
0,1994-03-31,80.87788815406437,86.51150957630088,100.87423219147549
0,1994-04-29,80.0552966718216,86.95005294711841,101.24805692394355
0,1994-05-31,77.27798607018927,86.70922063595229,101.88737314893706
0,1994-06-30,75.9120739335555,86.69350818407742,98.79977653402915
